window_id,model,train_start,train_end,test_start,test_end,partial,n_train,n_test,r2_eta,r2_v_total,param_count,n_seeds,fit_seconds
0,lgbm,2019-01-03,2021-01-03,2021-01-03,2021-07-03,False,1885473,508129,0.174549,0.934463,300,1,10.4
1,lgbm,2019-07-03,2021-07-03,2021-07-03,2022-01-03,False,1943774,532507,0.173194,0.938523,300,1,9.6
2,lgbm,2020-01-03,2022-01-03,2022-01-03,2022-07-03,False,1999158,536468,0.143801,0.95404,300,1,10.3
3,lgbm,2020-07-03,2022-07-03,2022-07-03,2023-01-03,False,2061058,536167,0.173061,0.955734,300,1,10.0
4,lgbm,2021-01-03,2023-01-03,2023-01-03,2023-07-03,False,2113271,522225,0.163819,0.953529,300,1,10.0
5,lgbm,2021-07-03,2023-07-03,2023-07-03,2024-01-03,False,2127367,528723,0.204224,0.959586,300,1,10.1
6,lgbm,2022-01-03,2024-01-03,2024-01-03,2024-07-03,False,2123583,514451,0.189129,0.957482,300,1,10.4
7,lgbm,2022-07-03,2024-07-03,2024-07-03,2025-01-03,False,2101566,517850,0.225124,0.954632,300,1,10.5
8,lgbm,2023-01-03,2025-01-03,2025-01-03,2025-07-03,False,2083249,496441,0.179915,0.95668,300,1,10.4
9,lgbm,2023-07-03,2025-07-03,2025-07-03,2026-01-03,False,2057465,508247,0.202243,0.955122,300,1,10.4
10,lgbm,2024-01-03,2026-01-03,2026-01-03,2026-07-03,False,2036989,487059,0.165872,0.95708,300,1,10.0
11,lgbm,2024-07-03,2026-07-03,2026-07-03,2027-01-03,True,2009597,69693,0.133525,0.958007,300,1,9.6
