tier,mu,aum,annret_gross_pct,sharpe_gross,annret_net_pct,sharpe_net,cost_drag_pct,turnover_ann
gross_z1_nocost,,100000000.0,260.012,0.989,-7973.96,-1.638,8233.972,126.542
ma5,1e-09,100000000.0,59.091,6.308,58.58,6.254,0.511,41.441
ma5,1e-08,100000000.0,139.195,5.851,131.653,5.531,7.542,77.588
ma5,1e-07,100000000.0,233.57,3.977,142.012,2.07,91.558,103.005
ma5,1e-06,100000000.0,261.073,1.64,-192.805,-0.894,453.878,116.964
rnn_narrow,1e-09,100000000.0,62.702,7.054,62.19,6.997,0.513,41.697
rnn_narrow,1e-08,100000000.0,139.276,5.727,131.568,5.406,7.708,77.908
rnn_narrow,1e-07,100000000.0,222.844,3.246,112.376,1.303,110.468,103.173
rnn_narrow,1e-06,100000000.0,247.23,1.322,-232.695,-0.912,479.924,117.079
lgbm_full,1e-09,100000000.0,60.728,6.238,60.228,6.187,0.5,41.568
lgbm_full,1e-08,100000000.0,142.726,5.549,134.996,5.245,7.729,77.767
lgbm_full,1e-07,100000000.0,230.489,3.654,132.122,1.747,98.368,103.219
lgbm_full,1e-06,100000000.0,258.566,1.459,-220.689,-0.919,479.255,117.268
oracle,1e-09,100000000.0,62.932,5.543,62.46,5.502,0.472,42.513
oracle,1e-08,100000000.0,152.534,4.52,145.932,4.323,6.602,78.695
oracle,1e-07,100000000.0,234.521,3.18,111.096,1.178,123.426,103.941
oracle,1e-06,100000000.0,252.832,1.271,-1572.377,-0.724,1825.209,118.657
gross_z1_nocost,,1000000000.0,260.012,0.989,-82079.709,-1.69,82339.721,126.542
ma5,1e-09,1000000000.0,59.091,6.308,53.982,5.764,5.11,41.441
ma5,1e-08,1000000000.0,139.195,5.851,63.771,2.631,75.424,77.588
ma5,1e-07,1000000000.0,233.57,3.977,-682.01,-1.921,915.58,103.005
ma5,1e-06,1000000000.0,261.073,1.64,-4277.706,-2.918,4538.779,116.964
rnn_narrow,1e-09,1000000000.0,62.702,7.054,57.576,6.483,5.127,41.697
rnn_narrow,1e-08,1000000000.0,139.276,5.727,62.194,2.416,77.082,77.908
rnn_narrow,1e-07,1000000000.0,222.844,3.246,-881.836,-1.683,1104.68,103.173
rnn_narrow,1e-06,1000000000.0,247.23,1.322,-4552.014,-2.599,4799.244,117.079
lgbm_full,1e-09,1000000000.0,60.728,6.238,55.731,5.727,4.997,41.568
lgbm_full,1e-08,1000000000.0,142.726,5.549,65.433,2.4,77.292,77.767
lgbm_full,1e-07,1000000000.0,230.489,3.654,-753.187,-1.803,983.676,103.219
lgbm_full,1e-06,1000000000.0,258.566,1.459,-4533.986,-2.786,4792.552,117.268
oracle,1e-09,1000000000.0,62.932,5.543,58.212,5.13,4.719,42.513
oracle,1e-08,1000000000.0,152.534,4.52,86.511,2.542,66.023,78.695
oracle,1e-07,1000000000.0,234.521,3.18,-999.734,-1.701,1234.256,103.941
oracle,1e-06,1000000000.0,252.832,1.271,-17999.255,-0.832,18252.086,118.657
gross_z1_nocost,,10000000000.0,260.012,0.989,-823137.197,-1.695,823397.21,126.542
ma5,1e-09,10000000000.0,59.091,6.308,7.994,0.85,51.097,41.441
ma5,1e-08,10000000000.0,139.195,5.851,-615.045,-12.746,754.24,77.588
ma5,1e-07,10000000000.0,233.57,3.977,-8922.233,-2.551,9155.803,103.005
ma5,1e-06,10000000000.0,261.073,1.64,-45126.714,-3.097,45387.787,116.964
rnn_narrow,1e-09,10000000000.0,62.702,7.054,11.437,1.28,51.266,41.697
rnn_narrow,1e-08,10000000000.0,139.276,5.727,-631.545,-7.191,770.821,77.908
rnn_narrow,1e-07,10000000000.0,222.844,3.246,-10823.96,-2.084,11046.805,103.173
rnn_narrow,1e-06,10000000000.0,247.23,1.322,-47745.206,-2.741,47992.436,117.079
lgbm_full,1e-09,10000000000.0,60.728,6.238,10.758,1.1,49.97,41.568
lgbm_full,1e-08,10000000000.0,142.726,5.549,-630.197,-6.762,772.923,77.767
lgbm_full,1e-07,10000000000.0,230.489,3.654,-9606.274,-2.329,9836.763,103.219
lgbm_full,1e-06,10000000000.0,258.566,1.459,-47666.954,-2.947,47925.52,117.268
oracle,1e-09,10000000000.0,62.932,5.543,15.738,1.387,47.194,42.513
oracle,1e-08,10000000000.0,152.534,4.52,-507.696,-9.547,660.23,78.695
oracle,1e-07,10000000000.0,234.521,3.18,-12108.035,-2.078,12342.556,103.941
oracle,1e-06,10000000000.0,252.832,1.271,-182268.029,-0.842,182520.861,118.657
