model,stratum_type,stratum,n_obs,r2_eta
lgbm,global,ALL,5757960,0.144495
lgbm,industry,UNK,5757960,0.144495
lgbm,size_decile,D10,759858,0.169342
lgbm,size_decile,D8,755053,0.153261
lgbm,size_decile,D9,750629,0.163691
lgbm,size_decile,D3,747753,0.13623
lgbm,size_decile,D2,732419,0.132967
lgbm,size_decile,D1,716025,0.145928
lgbm,size_decile,D7,706731,0.146064
lgbm,size_decile,D4,490210,0.135595
lgbm,size_decile,D6,74776,0.132285
lgbm,size_decile,D5,24506,0.119843
rnn,global,ALL,5757960,0.299254
rnn,industry,UNK,5757960,0.299254
rnn,size_decile,D10,759858,0.259344
rnn,size_decile,D8,755053,0.259324
rnn,size_decile,D9,750629,0.264005
rnn,size_decile,D3,747753,0.293569
rnn,size_decile,D2,732419,0.319413
rnn,size_decile,D1,716025,0.345912
rnn,size_decile,D7,706731,0.254639
rnn,size_decile,D4,490210,0.25636
rnn,size_decile,D6,74776,0.190221
rnn,size_decile,D5,24506,0.125799
nn,global,ALL,5757960,0.148739
nn,industry,UNK,5757960,0.148739
nn,size_decile,D10,759858,0.177066
nn,size_decile,D8,755053,0.157897
nn,size_decile,D9,750629,0.168512
nn,size_decile,D3,747753,0.141799
nn,size_decile,D2,732419,0.138892
nn,size_decile,D1,716025,0.15015
nn,size_decile,D7,706731,0.14921
nn,size_decile,D4,490210,0.138531
nn,size_decile,D6,74776,0.12139
nn,size_decile,D5,24506,0.097301
