window_id,model,train_start,train_end,test_start,test_end,partial,n_train,n_test,r2_eta,r2_v_total,param_count,n_seeds,fit_seconds
0,lgbm,2019-01-03,2021-01-03,2021-01-03,2021-07-03,False,1885473,508129,0.174098,0.934427,300,1,17.6
1,lgbm,2019-07-03,2021-07-03,2021-07-03,2022-01-03,False,1943774,532507,0.173226,0.938525,300,1,16.2
2,lgbm,2020-01-03,2022-01-03,2022-01-03,2022-07-03,False,1999158,536468,0.148787,0.954307,300,1,17.1
3,lgbm,2020-07-03,2022-07-03,2022-07-03,2023-01-03,False,2061058,536167,0.169441,0.95554,300,1,17.2
4,lgbm,2021-01-03,2023-01-03,2023-01-03,2023-07-03,False,2113271,522225,0.162744,0.953469,300,1,16.9
5,lgbm,2021-07-03,2023-07-03,2023-07-03,2024-01-03,False,2127367,528723,0.206214,0.959687,300,1,17.6
6,lgbm,2022-01-03,2024-01-03,2024-01-03,2024-07-03,False,2123583,514451,0.189062,0.957478,300,1,17.0
7,lgbm,2022-07-03,2024-07-03,2024-07-03,2025-01-03,False,2101566,517850,0.227109,0.954749,300,1,17.9
8,lgbm,2023-01-03,2025-01-03,2025-01-03,2025-07-03,False,2083249,496441,0.176956,0.956524,300,1,17.1
9,lgbm,2023-07-03,2025-07-03,2025-07-03,2026-01-03,False,2057465,508247,0.194722,0.954699,300,1,17.4
10,lgbm,2024-01-03,2026-01-03,2026-01-03,2026-07-03,False,2036989,487059,0.165077,0.957039,300,1,16.8
11,lgbm,2024-07-03,2026-07-03,2026-07-03,2027-01-03,True,2009597,69693,0.140355,0.958338,300,1,15.4
0,nn2,2019-01-03,2021-01-03,2021-01-03,2021-07-03,False,1885473,508129,0.153561,0.932797,4225,5,1138.5
0,nn2,2019-01-03,2021-01-03,2021-01-03,2021-07-03,False,1885473,508129,0.153561,0.932797,4225,5,1166.9
1,nn2,2019-07-03,2021-07-03,2021-07-03,2022-01-03,False,1943774,532507,0.159086,0.937474,4225,5,1175.5
2,nn2,2020-01-03,2022-01-03,2022-01-03,2022-07-03,False,1999158,536468,0.114986,0.952493,4225,5,1101.3
3,nn2,2020-07-03,2022-07-03,2022-07-03,2023-01-03,False,2061058,536167,0.155566,0.954797,4225,5,1144.3
0,nn2,2019-01-03,2021-01-03,2021-01-03,2021-07-03,False,1885473,508129,0.153561,0.932797,4225,5,1064.7
1,nn2,2019-07-03,2021-07-03,2021-07-03,2022-01-03,False,1943774,532507,0.159086,0.937474,4225,5,1189.1
2,nn2,2020-01-03,2022-01-03,2022-01-03,2022-07-03,False,1999158,536468,0.114986,0.952493,4225,5,1232.2
3,nn2,2020-07-03,2022-07-03,2022-07-03,2023-01-03,False,2061058,536167,0.155566,0.954797,4225,5,1249.8
4,nn2,2021-01-03,2023-01-03,2023-01-03,2023-07-03,False,2113271,522225,0.152036,0.952874,4225,5,1160.0
0,nn2,2019-01-03,2021-01-03,2021-01-03,2021-07-03,False,1885473,508129,0.153561,0.932797,4225,5,1045.1
1,nn2,2019-07-03,2021-07-03,2021-07-03,2022-01-03,False,1943774,532507,0.159086,0.937474,4225,5,1089.2
2,nn2,2020-01-03,2022-01-03,2022-01-03,2022-07-03,False,1999158,536468,0.114986,0.952493,4225,5,1221.4
