window_id,model,train_start,train_end,test_start,test_end,partial,n_train,n_test,r2_eta,r2_v_total,param_count,n_seeds,fit_seconds
0,lgbm,2019-01-03,2021-01-03,2021-01-03,2021-07-03,False,1885473,508129,0.135552,0.931367,300,1,5.1
1,lgbm,2019-07-03,2021-07-03,2021-07-03,2022-01-03,False,1943774,532507,0.140702,0.936107,300,1,5.5
2,lgbm,2020-01-03,2022-01-03,2022-01-03,2022-07-03,False,1999158,536468,0.122538,0.952898,300,1,5.4
3,lgbm,2020-07-03,2022-07-03,2022-07-03,2023-01-03,False,2061058,536167,0.132025,0.953537,300,1,5.7
4,lgbm,2021-01-03,2023-01-03,2023-01-03,2023-07-03,False,2113271,522225,0.13901,0.95215,300,1,5.6
5,lgbm,2021-07-03,2023-07-03,2023-07-03,2024-01-03,False,2127367,528723,0.152237,0.956946,300,1,5.6
6,lgbm,2022-01-03,2024-01-03,2024-01-03,2024-07-03,False,2123583,514451,0.147178,0.955282,300,1,5.7
7,lgbm,2022-07-03,2024-07-03,2024-07-03,2025-01-03,False,2101566,517850,0.167289,0.951246,300,1,5.6
8,lgbm,2023-01-03,2025-01-03,2025-01-03,2025-07-03,False,2083249,496441,0.15096,0.955151,300,1,5.7
9,lgbm,2023-07-03,2025-07-03,2025-07-03,2026-01-03,False,2057465,508247,0.153844,0.952399,300,1,5.6
10,lgbm,2024-01-03,2026-01-03,2026-01-03,2026-07-03,False,2036989,487059,0.142696,0.955888,300,1,5.6
11,lgbm,2024-07-03,2026-07-03,2026-07-03,2027-01-03,True,2009597,69693,0.129621,0.957818,300,1,5.2
0,rnn,2019-01-03,2021-01-03,2021-01-03,2021-07-03,False,1885473,508129,0.298894,0.944335,6689,5,1698.2
1,rnn,2019-07-03,2021-07-03,2021-07-03,2022-01-03,False,1943774,532507,0.290292,0.94723,6689,5,1850.3
2,rnn,2020-01-03,2022-01-03,2022-01-03,2022-07-03,False,1999158,536468,0.130801,0.953342,6689,5,2078.8
3,rnn,2020-07-03,2022-07-03,2022-07-03,2023-01-03,False,2061058,536167,0.264076,0.960606,6689,5,1970.0
4,rnn,2021-01-03,2023-01-03,2023-01-03,2023-07-03,False,2113271,522225,0.295127,0.960827,6689,5,1913.1
5,rnn,2021-07-03,2023-07-03,2023-07-03,2024-01-03,False,2127367,528723,0.310471,0.964982,6689,5,2129.1
6,rnn,2022-01-03,2024-01-03,2024-01-03,2024-07-03,False,2123583,514451,0.311679,0.963907,6689,5,2168.2
7,rnn,2022-07-03,2024-07-03,2024-07-03,2025-01-03,False,2101566,517850,0.349732,0.961928,6689,5,1913.9
8,rnn,2023-01-03,2025-01-03,2025-01-03,2025-07-03,False,2083249,496441,0.333256,0.96478,6689,5,1943.7
9,rnn,2023-07-03,2025-07-03,2025-07-03,2026-01-03,False,2057465,508247,0.353838,0.96365,6689,5,2131.7
10,rnn,2024-01-03,2026-01-03,2026-01-03,2026-07-03,False,2036989,487059,0.330442,0.965548,6689,5,1975.3
11,rnn,2024-07-03,2026-07-03,2026-07-03,2027-01-03,True,2009597,69693,0.26827,0.964537,6689,5,1811.9
0,nn,2019-01-03,2021-01-03,2021-01-03,2021-07-03,False,1885473,508129,0.138478,0.931599,1153,5,2466.4
1,nn,2019-07-03,2021-07-03,2021-07-03,2022-01-03,False,1943774,532507,0.146359,0.936528,1153,5,2559.3
2,nn,2020-01-03,2022-01-03,2022-01-03,2022-07-03,False,1999158,536468,0.115222,0.952506,1153,5,2526.8
3,nn,2020-07-03,2022-07-03,2022-07-03,2023-01-03,False,2061058,536167,0.136524,0.953778,1153,5,2738.6
4,nn,2021-01-03,2023-01-03,2023-01-03,2023-07-03,False,2113271,522225,0.14423,0.952441,1153,5,2750.2
5,nn,2021-07-03,2023-07-03,2023-07-03,2024-01-03,False,2127367,528723,0.157169,0.957196,1153,5,2746.3
6,nn,2022-01-03,2024-01-03,2024-01-03,2024-07-03,False,2123583,514451,0.150833,0.955473,1153,5,2848.7
7,nn,2022-07-03,2024-07-03,2024-07-03,2025-01-03,False,2101566,517850,0.1726,0.951557,1153,5,2657.4
8,nn,2023-01-03,2025-01-03,2025-01-03,2025-07-03,False,2083249,496441,0.155279,0.955379,1153,5,2716.2
9,nn,2023-07-03,2025-07-03,2025-07-03,2026-01-03,False,2057465,508247,0.159883,0.952739,1153,5,2792.7
10,nn,2024-01-03,2026-01-03,2026-01-03,2026-07-03,False,2036989,487059,0.15207,0.95637,1153,5,2677.8
11,nn,2024-07-03,2026-07-03,2026-07-03,2027-01-03,True,2009597,69693,0.138434,0.958245,1153,5,2709.6
