pair_key,s1,s2,param_set,pair_pnl,pair_sharpe,run_sharpe,dsr_pvalue,n_trades,window_idx,train_end
HAS/YUM,HAS,YUM,aggressive,33413.64987246708,1.8341828387473036,1.2239112695546115,0.9999999000264325,74,1,2025-11-12
AON/KKR,AON,KKR,aggressive,-3921.979804675511,-0.18896435006505777,1.2239112695546115,2.3427149684287012e-07,70,1,2025-11-12
EXR/WY,EXR,WY,aggressive,3216.70744615678,0.20931436087809296,1.2239112695546115,0.9753511841600352,70,1,2025-11-12
UNP/VLTO,UNP,VLTO,aggressive,-10486.94485247049,-0.9530130349096132,1.2239112695546115,2.9738729167463736e-29,72,1,2025-11-12
AIG/CFG,AIG,CFG,aggressive,-7561.087252382127,-0.4902800319273236,1.2239112695546115,6.2072949567251105e-19,90,1,2025-11-12
BSX/PFE,BSX,PFE,aggressive,16040.99116333644,0.7559048702572455,1.2239112695546115,0.9999999999999991,78,1,2025-11-12
AON/BR,AON,BR,aggressive,3712.554544136239,0.44968847358479175,1.2239112695546115,0.9999999985671945,60,1,2025-11-12
AAPL/CINF,AAPL,CINF,aggressive,5136.642236494972,0.2765077949628506,1.2239112695546115,0.9991121651488037,78,1,2025-11-12
AIG/NTRS,AIG,NTRS,aggressive,-7453.779293278334,-0.41857223888958744,1.2239112695546115,4.8003760622268115e-23,86,1,2025-11-12
AKAM/MSFT,AKAM,MSFT,aggressive,19005.83319876009,1.8045581498291638,1.2239112695546115,1.0,70,1,2025-11-12
CME/DE,CME,DE,aggressive,7919.443439859803,0.5666194678351868,1.2239112695546115,0.9999999999472424,68,1,2025-11-12
DUK/PPL,DUK,PPL,aggressive,9814.035142617393,1.5674185805897909,1.2239112695546115,1.0,58,1,2025-11-12
GWW/ODFL,GWW,ODFL,aggressive,27619.48675833011,1.546499175522299,1.2239112695546115,0.9999999999998176,82,1,2025-11-12
CSCO/PAYC,CSCO,PAYC,aggressive,925.5204344951994,0.04992406602441089,1.2239112695546115,0.1269090117293823,72,1,2025-11-12
APO/MCO,APO,MCO,aggressive,16971.16511664759,1.3714112021226206,1.2239112695546115,1.0,66,1,2025-11-12
HAS/YUM,HAS,YUM,high_entry,9340.417730981488,2.211473874243035,0.9892227546314653,0.9999999979912202,18,1,2025-11-12
AON/KKR,AON,KKR,high_entry,1311.499558862653,0.21132306968708092,0.9892227546314653,0.983760766921931,20,1,2025-11-12
EXR/WY,EXR,WY,high_entry,720.0801961441207,0.13780749849040516,0.9892227546314653,0.7285093999235094,18,1,2025-11-12
UNP/VLTO,UNP,VLTO,high_entry,-416.2170347818706,-0.09784369431038624,0.9892227546314653,7.415910252279644e-06,18,1,2025-11-12
AIG/CFG,AIG,CFG,high_entry,1541.313196878737,0.23458456945568307,0.9892227546314653,0.9510928272977627,18,1,2025-11-12
BSX/PFE,BSX,PFE,high_entry,3717.94555277021,0.5280098207809445,0.9892227546314653,0.9999919433293307,24,1,2025-11-12
AON/BR,AON,BR,high_entry,490.7897494596086,0.2506861514481897,0.9892227546314653,0.988957314213975,10,1,2025-11-12
AAPL/CINF,AAPL,CINF,high_entry,6868.097430062792,0.9846614455197308,0.9892227546314653,0.9995679069979253,18,1,2025-11-12
AIG/NTRS,AIG,NTRS,high_entry,-1405.56199235914,-0.22196132075403882,0.9892227546314653,5.07601081044148e-13,24,1,2025-11-12
AKAM/MSFT,AKAM,MSFT,high_entry,9731.275889362094,2.5468742789269054,0.9892227546314653,0.999999971250146,24,1,2025-11-12
CME/DE,CME,DE,high_entry,-2980.745729289685,-0.4966698000352705,0.9892227546314653,4.945939453932406e-14,24,1,2025-11-12
DUK/PPL,DUK,PPL,high_entry,365.7335028162181,0.14526389638883477,0.9892227546314653,0.7187522975583551,26,1,2025-11-12
GWW/ODFL,GWW,ODFL,high_entry,9183.070581576807,1.4080103119967693,0.9892227546314653,0.9999993892020002,16,1,2025-11-12
CSCO/PAYC,CSCO,PAYC,high_entry,4253.710221171777,0.5618894425654889,0.9892227546314653,0.9992192189470971,16,1,2025-11-12
APO/MCO,APO,MCO,high_entry,6924.279523550989,1.3382590607123308,0.9892227546314653,0.9995633796031256,22,1,2025-11-12
HAS/YUM,HAS,YUM,deep_entry_quick_exit,12306.38939188658,2.5885564288364584,0.9697440570792356,0.9999999999981863,20,1,2025-11-12
AON/KKR,AON,KKR,deep_entry_quick_exit,2602.216721478865,0.42595891032374267,0.9697440570792356,0.9998593800799294,16,1,2025-11-12
EXR/WY,EXR,WY,deep_entry_quick_exit,1954.246893669128,0.4391316893105091,0.9697440570792356,0.9999993117561731,12,1,2025-11-12
UNP/VLTO,UNP,VLTO,deep_entry_quick_exit,198.2341526235004,0.04698866026095473,0.9697440570792356,0.1373712494129114,16,1,2025-11-12
AIG/CFG,AIG,CFG,deep_entry_quick_exit,319.3700373221287,0.04554990338766119,0.9697440570792356,0.12548055513098166,22,1,2025-11-12
BSX/PFE,BSX,PFE,deep_entry_quick_exit,4492.578011303462,0.4738712905557613,0.9697440570792356,0.9994820819035871,28,1,2025-11-12
AON/BR,AON,BR,deep_entry_quick_exit,1546.097185193433,0.4985975895048268,0.9697440570792356,0.999092731873605,10,1,2025-11-12
AAPL/CINF,AAPL,CINF,deep_entry_quick_exit,-3182.564233532989,-0.41858491057930297,0.9697440570792356,6.145403789778068e-16,20,1,2025-11-12
AIG/NTRS,AIG,NTRS,deep_entry_quick_exit,-514.7708930518211,-0.07857836294805298,0.9697440570792356,2.67322379101521e-05,20,1,2025-11-12
AKAM/MSFT,AKAM,MSFT,deep_entry_quick_exit,8274.101380023996,2.0693617659038597,0.9697440570792356,0.9999996898701539,18,1,2025-11-12
CME/DE,CME,DE,deep_entry_quick_exit,977.7932106925973,0.20168306111931739,0.9697440570792356,0.9317870093801809,20,1,2025-11-12
DUK/PPL,DUK,PPL,deep_entry_quick_exit,-430.6580843797212,-0.1469129988808412,0.9697440570792356,4.97562405886719e-06,24,1,2025-11-12
GWW/ODFL,GWW,ODFL,deep_entry_quick_exit,9301.728450473693,1.3783693196598508,0.9697440570792356,0.9999999111460199,18,1,2025-11-12
CSCO/PAYC,CSCO,PAYC,deep_entry_quick_exit,4404.037355169833,0.5986213763617246,0.9697440570792356,0.9993021059181169,18,1,2025-11-12
APO/MCO,APO,MCO,deep_entry_quick_exit,6973.974013686865,1.35769543818723,0.9697440570792356,0.9996158531571983,18,1,2025-11-12
HAS/YUM,HAS,YUM,stable_signal_quick_exit,19621.82003857451,2.183579149493143,0.9257172807089185,0.9999999864687138,40,1,2025-11-12
AON/KKR,AON,KKR,stable_signal_quick_exit,774.7642214821608,0.07879570479809159,0.9257172807089185,0.272975178178908,38,1,2025-11-12
EXR/WY,EXR,WY,stable_signal_quick_exit,2049.604002748722,0.29350050625335566,0.9257172807089185,0.999801787728564,38,1,2025-11-12
UNP/VLTO,UNP,VLTO,stable_signal_quick_exit,-2133.429689578702,-0.3738639213679897,0.9257172807089185,1.9770868193553797e-17,44,1,2025-11-12
AIG/CFG,AIG,CFG,stable_signal_quick_exit,-11301.10899518726,-1.4742237528483313,0.9257172807089185,4.895340719326082e-08,36,1,2025-11-12
BSX/PFE,BSX,PFE,stable_signal_quick_exit,6474.180884438504,0.6168026434826321,0.9257172807089185,0.9999923615733545,44,1,2025-11-12
AON/BR,AON,BR,stable_signal_quick_exit,-367.1394975755903,-0.07806866227734985,0.9257172807089185,0.000579313589862338,28,1,2025-11-12
AAPL/CINF,AAPL,CINF,stable_signal_quick_exit,934.7832882697785,0.11226584276248569,0.9257172807089185,0.5293088016324529,28,1,2025-11-12
AIG/NTRS,AIG,NTRS,stable_signal_quick_exit,-1351.62584858879,-0.16931612024213055,0.9257172807089185,9.004579695182403e-09,36,1,2025-11-12
AKAM/MSFT,AKAM,MSFT,stable_signal_quick_exit,5321.130287936483,1.273001960860565,0.9257172807089185,0.9999999999995226,32,1,2025-11-12
CME/DE,CME,DE,stable_signal_quick_exit,8850.092358438567,1.2215755448170635,0.9257172807089185,0.9999999999912534,42,1,2025-11-12
DUK/PPL,DUK,PPL,stable_signal_quick_exit,2065.734138246829,0.6192102343017183,0.9257172807089185,0.9999998780676314,36,1,2025-11-12
GWW/ODFL,GWW,ODFL,stable_signal_quick_exit,10223.3154078228,1.2979241084621758,0.9257172807089185,0.999999999977819,36,1,2025-11-12
CSCO/PAYC,CSCO,PAYC,stable_signal_quick_exit,7443.609617011956,0.7258300130595553,0.9257172807089185,0.9999995682699451,52,1,2025-11-12
APO/MCO,APO,MCO,stable_signal_quick_exit,8836.86193190513,1.2981928357639816,0.9257172807089185,0.9999999827943392,32,1,2025-11-12
HAS/YUM,HAS,YUM,static_threshold,10059.79704027061,1.004462959613056,0.9012979230968472,1.0,68,1,2025-11-12
AON/KKR,AON,KKR,static_threshold,-4668.055448223397,-0.2923183179870926,0.9012979230968472,1.3492906621397466e-08,76,1,2025-11-12
EXR/WY,EXR,WY,static_threshold,3562.899925768158,0.40550999879397837,0.9012979230968472,0.9999999867494845,58,1,2025-11-12
UNP/VLTO,UNP,VLTO,static_threshold,6167.157785791243,0.7919728954962599,0.9012979230968472,0.9999999960041609,80,1,2025-11-12
AIG/CFG,AIG,CFG,static_threshold,-6929.643402444322,-0.7205289618323532,0.9012979230968472,1.978270925522724e-32,72,1,2025-11-12
BSX/PFE,BSX,PFE,static_threshold,9575.399190909562,0.7365051293310497,0.9012979230968472,0.9999999997861521,68,1,2025-11-12
AON/BR,AON,BR,static_threshold,2812.752924229006,0.5096697849248354,0.9012979230968472,0.9999999957617283,68,1,2025-11-12
AAPL/CINF,AAPL,CINF,static_threshold,1092.353966971401,0.09661867288150264,0.9012979230968472,0.415699933980355,90,1,2025-11-12
AIG/NTRS,AIG,NTRS,static_threshold,-14962.57798465624,-1.3569094207575496,0.9012979230968472,3.776016733596467e-27,82,1,2025-11-12
AKAM/MSFT,AKAM,MSFT,static_threshold,4123.611311355277,0.2633899498914845,0.9012979230968472,0.9207494745096196,68,1,2025-11-12
CME/DE,CME,DE,static_threshold,18701.93716371414,1.454075583199234,0.9012979230968472,0.999999999998227,104,1,2025-11-12
DUK/PPL,DUK,PPL,static_threshold,3243.052713237423,0.7265679307486457,0.9012979230968472,0.9999999999999092,64,1,2025-11-12
GWW/ODFL,GWW,ODFL,static_threshold,10474.1656804548,0.9291265465316765,0.9012979230968472,0.9999999998478102,76,1,2025-11-12
CSCO/PAYC,CSCO,PAYC,static_threshold,9624.855804070594,0.8437291669631782,0.9012979230968472,0.9999999974979139,74,1,2025-11-12
APO/MCO,APO,MCO,static_threshold,16876.62644898357,1.661144163732426,0.9012979230968472,1.0,86,1,2025-11-12
HAS/YUM,HAS,YUM,vol_adaptive,8834.403785532892,0.7927134386709458,0.8662830517873199,0.9999932040450049,58,1,2025-11-12
AON/KKR,AON,KKR,vol_adaptive,-846.7928535283871,-0.07308587449641844,0.8662830517873199,0.0004384023769333405,58,1,2025-11-12
EXR/WY,EXR,WY,vol_adaptive,4359.683785816986,0.4917327817034823,0.8662830517873199,0.9999999950931728,50,1,2025-11-12
UNP/VLTO,UNP,VLTO,vol_adaptive,-1801.711852085973,-0.3028387042193216,0.8662830517873199,1.1413214160782109e-14,60,1,2025-11-12
AIG/CFG,AIG,CFG,vol_adaptive,4612.899412448732,0.6070545549790544,0.8662830517873199,0.9999999999441866,52,1,2025-11-12
BSX/PFE,BSX,PFE,vol_adaptive,3558.870411919428,0.3288498774909316,0.8662830517873199,0.9999549258493113,56,1,2025-11-12
AON/BR,AON,BR,vol_adaptive,-16.4938385735777,-0.004159902203002651,0.8662830517873199,0.014800539429223358,46,1,2025-11-12
AAPL/CINF,AAPL,CINF,vol_adaptive,1091.329763963703,0.09825474286073684,0.8662830517873199,0.41728390675241916,48,1,2025-11-12
