Date,OOS_Equity,OOS_DailyPnL,Window,n_pairs,OOS_Equity_Chained
2025-11-17,499931.5068493151,-68.49315068492433,1,14,499931.5068493151
2025-11-18,499613.8536986301,-317.6531506849569,1,14,499613.8536986301
2025-11-19,499864.9352032709,251.08150464080973,1,14,499864.9352032709
2025-11-20,501125.310706848,1260.3755035770591,1,14,501125.310706848
2025-11-21,502010.9057041527,885.5949973047245,1,14,502010.9057041527
2025-11-24,503664.2393883988,1653.333684246114,1,14,503664.2393883988
2025-11-25,502289.4514613727,-1374.7879270261037,1,14,502289.4514613727
2025-11-26,502434.7732045645,145.32174319180194,1,14,502434.7732045645
2025-11-28,500756.3137438881,-1678.459460676415,1,14,500756.3137438881
2025-12-01,501247.3995180579,491.08577416976914,1,14,501247.3995180579
2025-12-02,501224.8887045159,-22.510813542001415,1,14,501224.8887045159
2025-12-03,500287.2444530198,-937.6442514960654,1,14,500287.2444530198
2025-12-04,501464.9084859565,1177.6640329366783,1,14,501464.9084859565
2025-12-05,500744.9195063983,-719.9889795581694,1,14,500744.9195063983
2025-12-08,502476.7956196627,1731.8761132643558,1,14,502476.7956196627
2025-12-09,501310.6383440833,-1166.157275579404,1,14,501310.6383440833
2025-12-10,499612.0852464216,-1698.553097661701,1,14,499612.0852464216
2025-12-11,499627.6226624171,15.537415995553602,1,14,499627.6226624171
2025-12-12,499362.9375418597,-264.68512055743486,1,14,499362.9375418597
2025-12-15,498989.9328842104,-373.0046576493187,1,14,498989.9328842104
2025-12-16,500429.1739908033,1439.2411065929336,1,14,500429.1739908033
2025-12-17,499640.2172069068,-788.9567838964867,1,14,499640.2172069068
2025-12-18,500954.3565375414,1314.1393306345562,1,14,500954.3565375414
2025-12-19,500955.0437138336,0.6871762922382914,1,14,500955.0437138336
2025-12-23,499931.506849315,-68.49315068498254,2,14,500955.0437138336
2025-12-24,500022.8936986299,91.3868493149057,2,14,501046.4305631485
2025-12-26,499248.440547945,-774.4531506849453,2,14,500271.9774124636
2025-12-29,498391.3673972602,-857.073150684766,2,14,499414.9042617788
2025-12-30,497717.0242465752,-674.3431506850175,2,14,498740.5611110938
2025-12-31,498204.8510958903,487.82684931508265,2,14,499228.3879604089
2026-01-02,498122.7679452051,-82.08315068518277,2,14,499146.3048097237
2026-01-05,499633.4047945202,1510.6368493150803,2,14,500656.94165903877
2026-01-06,499629.3316438353,-4.073150684882421,2,14,500652.8685083539
2026-01-07,500817.9884931501,1188.656849314808,2,14,501841.5253576687
2026-01-08,502734.6353424652,1916.6468493150896,2,14,503758.1722069838
2026-01-09,504282.9221917802,1548.2868493149872,2,14,505306.4590562988
2026-01-12,504101.4290410953,-181.49315068486612,2,14,505124.9659056139
2026-01-13,504316.6858904108,215.25684931548312,2,14,505340.2227549294
2026-01-14,503782.3127397255,-534.3731506852782,2,14,504805.8496042441
2026-01-15,502929.8995890404,-852.4131506851409,2,14,503953.43645355897
2026-01-16,500144.3846682402,-2785.5149208001676,2,14,501167.9215327588
2026-01-20,500753.2015175552,608.8168493150151,2,14,501776.7383820738
2026-01-21,502140.1783668703,1386.976849315106,2,14,503163.7152313889
2026-01-22,504822.8852161852,2682.7068493148545,2,14,505846.4220807038
2026-01-23,506683.1320655001,1860.2468493148917,2,14,507706.66893001867
2026-01-26,506040.2589148153,-642.8731506847544,2,14,507063.7957793339
2026-01-27,511124.1557641301,5083.896849314799,2,14,512147.6926286487
2026-01-28,510455.0426134451,-669.1131506850361,2,14,511478.5794779637
2026-01-30,499931.5068493149,-68.49315068509895,3,14,511478.5794779637
