Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
FSLR/RSG,11852.627697711301,1.244177642049701,-7140.540000000014,-0.014281080000000028,0.5869565217391305,24,19043.0,144
HAS/PFE,10345.793926375218,1.375632151010296,-5626.73000000003,-0.011253460000000059,0.46875,25,120561.0,144
BSX/WMB,8259.542248850945,1.861028413021011,-1716.7800000000007,-0.0034335600000000013,0.6,6,14323.0,144
GPN/PTC,6598.115157068071,1.3486197767756989,-3623.579999999998,-0.007247159999999996,0.6818181818181818,10,20641.0,144
CSCO/PAYC,6379.880341331938,1.163748835779576,-5892.502861542428,-0.011785005723084855,0.6296296296296297,14,27090.0,144
PFE/YUM,4926.260362551839,1.0099292057918596,-4242.130328461803,-0.008484260656923606,0.5111111111111111,20,90484.0,144
DXCM/UDR,3672.822974588409,0.7394751027275372,-4792.540000000015,-0.00958508000000003,0.45454545454545453,19,79473.0,144
DLR/PRU,2879.482428723712,0.6603695941854424,-4348.8467749473,-0.0086976935498946,0.47619047619047616,22,37182.0,144
VTRS/YUM,2236.6576646937538,0.26886899421729565,-8088.330000000009,-0.01617666000000002,0.5357142857142857,24,191412.0,144
AME/WMT,1274.996887096762,0.8677096017428577,-1043.9000000000024,-0.0020878000000000047,0.6153846153846154,8,5218.0,144
TXT/YUM,0.0,0.0,0.0,0.0,,0,0.0,0
CINF/FMC,-1293.5808022563447,-0.1727432141251381,-8442.48,-0.016884959999999997,0.5,38,145714.0,144
HRL/MKC,-2621.7795777480615,-0.5471272429695353,-4824.515603143374,-0.009649031206286749,0.5111111111111111,19,112088.0,144
AON/BG,-5187.18677610843,-1.209594042276896,-5628.000674527646,-0.011256001349055291,0.39622641509433965,31,20780.0,144
AON/GEN,-6780.326267649445,-0.8937618859336374,-10069.333441597893,-0.020138666883195787,0.5333333333333333,17,73496.0,144
