pair_key,s1,s2,param_set,pair_pnl,pair_sharpe,run_sharpe,dsr_pvalue,n_trades,window_idx,train_end
AMAT/LULU,AMAT,LULU,crash_tolerant,914.8313208250502,0.25794427076525567,0.5522431932478856,0.9908321171137474,8,1,2025-10-29
AMAT/CSGP,AMAT,CSGP,crash_tolerant,1481.607121318206,0.3503322497041741,0.5522431932478856,0.9999489547917749,10,1,2025-10-29
LRCX/FIS,LRCX,FIS,crash_tolerant,889.3075291322411,0.22093276989113003,0.5522431932478856,0.9524199726899486,12,1,2025-10-29
LRCX/FOXA,LRCX,FOXA,crash_tolerant,-1050.671325557526,-0.2554728189988146,0.5522431932478856,6.380768840332207e-16,4,1,2025-10-29
DVA/KLAC,DVA,KLAC,crash_tolerant,3450.801711865953,0.8549288579996027,0.5522431932478856,0.9999672938683897,12,1,2025-10-29
DVA/INTU,DVA,INTU,crash_tolerant,3834.346085722826,1.4855723656258095,0.5522431932478856,0.9999565823298708,6,1,2025-10-29
GLW/FISV,GLW,FISV,crash_tolerant,8496.663591262402,1.8711962267715092,0.5522431932478856,0.9999999999995735,16,1,2025-10-29
GLW/FOX,GLW,FOX,crash_tolerant,-955.62052347085,-0.43801802708541243,0.5522431932478856,2.5874793078263464e-08,6,1,2025-10-29
TER/ISRG,TER,ISRG,crash_tolerant,3630.675092934018,0.9090732572596386,0.5522431932478856,0.9999984066909885,12,1,2025-10-29
TER/CMCSA,TER,CMCSA,crash_tolerant,4782.852553343087,1.1238285799247278,0.5522431932478856,0.9999999923783394,10,1,2025-10-29
CAT/TYL,CAT,TYL,crash_tolerant,2320.060975199161,0.6434358062691472,0.5522431932478856,0.9999999917613799,10,1,2025-10-29
CAT/ICE,CAT,ICE,crash_tolerant,4632.567962124547,1.3512285744553383,0.5522431932478856,0.9999999999990354,12,1,2025-10-29
IRM/EFX,IRM,EFX,crash_tolerant,-405.9900000000004,-0.5508255721411576,0.5522431932478856,2.555526240208443e-05,2,1,2025-10-29
IRM/MSFT,IRM,MSFT,crash_tolerant,1037.863721989785,0.49577968166519254,0.5522431932478856,0.9999824080641756,4,1,2025-10-29
PWR/NKE,PWR,NKE,crash_tolerant,4184.288559360252,0.7990804801818241,0.5522431932478856,0.9999999999979494,10,1,2025-10-29
AMAT/LULU,AMAT,LULU,aggressive,15873.94325106924,1.7359516691022967,0.2936499051483464,0.9999999974608831,32,1,2025-10-29
AMAT/CSGP,AMAT,CSGP,aggressive,-3051.495081584684,-0.3160115925599857,0.2936499051483464,3.662946216787593e-12,28,1,2025-10-29
LRCX/FIS,LRCX,FIS,aggressive,-3580.803854532863,-0.3491914425673104,0.2936499051483464,7.492775372220899e-16,32,1,2025-10-29
LRCX/FOXA,LRCX,FOXA,aggressive,1328.966494252953,0.16059449701177,0.2936499051483464,0.7886694794030197,32,1,2025-10-29
DVA/KLAC,DVA,KLAC,aggressive,367.7088127142001,0.03541513734629874,0.2936499051483464,0.10724059072053094,28,1,2025-10-29
DVA/INTU,DVA,INTU,aggressive,7394.211598498716,1.5544563481470175,0.2936499051483464,1.0,30,1,2025-10-29
GLW/FISV,GLW,FISV,aggressive,-834.6856083639796,-0.08592332304417198,0.2936499051483464,3.1655595413848586e-06,36,1,2025-10-29
GLW/FOX,GLW,FOX,aggressive,3918.201298874738,0.5603030551481595,0.2936499051483464,0.9999999999950245,34,1,2025-10-29
TER/ISRG,TER,ISRG,aggressive,871.1176009338849,0.07711334745297549,0.2936499051483464,0.30450122757786535,34,1,2025-10-29
TER/CMCSA,TER,CMCSA,aggressive,4729.409122099525,0.6235001221995491,0.2936499051483464,0.9999999985907917,28,1,2025-10-29
CAT/TYL,CAT,TYL,aggressive,8795.895899383167,1.76161991434252,0.2936499051483464,1.0,28,1,2025-10-29
CAT/ICE,CAT,ICE,aggressive,6154.033173070906,1.265101129765747,0.2936499051483464,1.0,28,1,2025-10-29
