Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
CMI/AWK,4295.390182732821,0.5662036240721597,-5741.942349839666,-0.011483884699679333,0.5238095238095238,7,5466.0,156
FOX/AWK,3215.779152382789,0.8164857200797223,-2826.26084761722,-0.00565252169523444,0.5625,6,10664.0,156
AIG/WELL,3170.2473134284282,1.3767083716571138,-1351.5924913093854,-0.002703184982618771,0.6538461538461539,5,5362.0,156
ALL/WELL,94.71696662285933,0.10802793446536307,-799.7737345597887,-0.0015995474691195776,0.5555555555555556,1,497.0,156
MAR/AME,0.0,0.0,0.0,0.0,,0,0.0,130
ACGL/YUM,0.0,0.0,0.0,0.0,,0,0.0,156
AEE/CNP,-430.6205467475602,-0.14738437875896548,-2303.3614204089313,-0.004606722840817863,0.4576271186440678,11,49889.0,156
CSX/AIG,-774.6614561488841,-0.2804451769682209,-2969.021390498261,-0.005938042780996522,0.5294117647058824,4,12892.0,156
BK/ALL,-1368.19864370111,-1.191600015607815,-2091.138643701118,-0.0041822772874022356,0.26666666666666666,3,3026.0,156
NDSN/MSCI,-2250.8111411157734,-0.5199866727380937,-7177.391779413639,-0.014354783558827277,0.5161290322580645,6,3255.0,156
CINF/AWK,-4001.670847617216,-1.17623063816747,-5643.9808476172175,-0.011287961695234435,0.45714285714285713,6,6422.0,156
HST/CSCO,-4697.602547332195,-0.919904818592182,-7328.910000000008,-0.014657820000000016,0.38461538461538464,3,27956.0,156
AFL/ICE,-5209.043205662133,-0.9932669193346524,-11039.949117524166,-0.022079898235048332,0.421875,11,17400.0,156
HLT/AIG,-5642.889699737736,-1.1503782859669098,-5785.083772177049,-0.011570167544354098,0.36,4,3176.0,156
CMI/ALL,-8221.142317020604,-0.9084346910526752,-18443.39231702059,-0.03688678463404118,0.3783783783783784,8,4145.0,156
