# Private Credit Loan Portfolio (50 Loans)
# Format: loan_id|borrower|sector|principal|rate_type|base_rate|spread|origination_date|maturity_months|io_months|amort_style|origination_rate|current_spread|ltv|dscr|credit_rating|prepay_penalty|default_prob|seniority|collateral_type|geography|vintage_yield|coupon_freq|floating_reset_freq

LOAN_001|TechCorp Alpha|Technology|15000000|floating|SOFR|0.0650|2023-03-15|36|12|interest_only|0.0820|0.0650|0.65|1.45|B+|0.02|0.035|Senior|Equipment|California|0.1150|quarterly|quarterly
LOAN_002|RetailCo Beta|Retail|8500000|fixed|none|0.0000|2023-01-20|48|6|annuity|0.1100|0.0000|0.70|1.25|B|0.015|0.045|Senior|Real Estate|Texas|0.1100|monthly|none
LOAN_003|ManufacturingGamma|Manufacturing|22000000|floating|DGS2|0.0725|2022-11-08|60|18|annuity|0.0895|0.0725|0.58|1.65|BB-|0.025|0.025|Senior|Machinery|Ohio|0.1170|monthly|semi_annual
LOAN_004|HealthServices Delta|Healthcare|12000000|fixed|none|0.0000|2023-06-12|42|9|interest_only|0.0975|0.0000|0.72|1.35|B|0.02|0.038|Subordinated|Accounts Receivable|Florida|0.0975|monthly|none
LOAN_005|EnergyVentures Epsilon|Energy|35000000|floating|SOFR|0.0850|2022-09-25|72|24|annuity|0.0920|0.0850|0.55|1.80|BB|0.03|0.022|Senior|Oil&Gas Assets|Texas|0.1288|quarterly|quarterly
LOAN_006|LogisticsSolutions Zeta|Transportation|9200000|floating|EFFR|0.0575|2023-04-30|36|0|annuity|0.1005|0.0575|0.68|1.42|B+|0.018|0.032|Senior|Fleet|Illinois|0.1008|monthly|monthly
LOAN_007|FoodProcessing Eta|Consumer Staples|6800000|fixed|none|0.0000|2023-02-14|30|6|annuity|0.0925|0.0000|0.75|1.28|B-|0.015|0.052|Senior|Inventory|Georgia|0.0925|monthly|none
LOAN_008|RealEstateDev Theta|Real Estate|28000000|floating|DGS10|0.0695|2022-12-05|84|36|interest_only|0.0785|0.0695|0.62|1.55|BB+|0.035|0.018|Senior|Commercial Property|New York|0.1185|quarterly|annual
LOAN_009|TelecomInfra Iota|Telecommunications|16500000|floating|SOFR|0.0720|2023-05-18|48|12|annuity|0.0792|0.0720|0.63|1.48|BB-|0.022|0.028|Senior|Infrastructure|Colorado|0.1158|monthly|quarterly
LOAN_010|AgroScience Kappa|Agriculture|11000000|fixed|none|0.0000|2023-07-22|36|0|annuity|0.1050|0.0000|0.69|1.33|B|0.017|0.042|Senior|Equipment|Iowa|0.1050|quarterly|none

LOAN_011|ChemicalPlant Lambda|Chemicals|18700000|floating|DGS5|0.0755|2022-10-15|66|18|annuity|0.0837|0.0755|0.59|1.62|BB|0.028|0.024|Senior|Plant&Equipment|Louisiana|0.1175|monthly|semi_annual
LOAN_012|SoftwareSolutions Mu|Technology|7300000|floating|SOFR|0.0680|2023-08-08|30|6|interest_only|0.1118|0.0680|0.82|1.25|B+|0.020|0.035|Subordinated|IP&Software|Washington|0.1118|monthly|quarterly
